index,id,group,phase,score
398,58,2,2,45.4606509677084
399,58,2,3,53.3618173511643
400,59,2,1,73.3034251177585
401,59,2,2,32.8017938298473
402,59,2,2,22.279193493491
403,59,2,2,28.7631880127447
404,59,2,2,26.9545801867786
405,59,2,2,22.6744513086285
406,59,2,3,69.9199355271784
407,60,1,1,65.179228724751
408,60,1,2,43.684308292592
409,60,1,2,15.251508773988
410,60,1,2,23.4269737272878
411,60,1,2,20.6078591811021
412,60,1,2,11.572256728345
413,60,1,3,28.9105940821586
414,61,2,1,111.638233097952
415,61,2,2,29.817157570932
416,61,2,2,23.803652745965
417,61,2,2,22.1290155884107
418,61,2,2,20.901661528271
419,61,2,2,17.2232899654743
420,61,2,3,78.4971307028759
421,62,2,1,97.422194397097
422,62,2,2,33.7755849736986
423,62,2,2,29.5020041137544
424,62,2,2,28.5696274573706
425,62,2,2,28.1612926370014
426,62,2,2,39.1977119920681
427,62,2,3,102.858120686413
428,63,1,1,74.3745033837118
429,63,1,2,32.4172769425323
430,63,1,2,25.1079134576341
431,63,1,2,14.8244121780808
432,63,1,2,24.3302281472265
433,63,1,2,18.6163664231312
434,63,1,3,27.731297776614
435,64,1,1,60.6626116048669
436,64,1,2,40.3697430164347
437,64,1,2,29.1366840898823
438,64,1,2,26.9727921341041
439,64,1,2,26.7068822964912
440,64,1,2,23.5752456714611
441,64,1,3,44.1390899637187
442,65,2,1,45.4701835022246
443,65,2,2,29.6664156819071
444,65,2,2,37.8700408302165
445,65,2,2,19.040307859748
446,65,2,2,22.3915370805801
447,65,2,2,24.9423028975215
448,65,2,3,22.3367797871175
449,66,2,1,132.637224499136
450,66,2,2,35.4354587379492
451,66,2,2,18.5959221100269
452,66,2,2,22.6927325548508
453,66,2,2,11.2190314454158
454,66,2,2,11.6385422933663
455,66,2,3,41.0880340677464
456,67,1,1,47.5214539437256
457,67,1,2,39.6695681576179
458,67,1,2,30.3970814422344
459,67,1,2,30.1453359334635
460,67,1,2,25.2248968916018
461,67,1,2,26.0822156803837
462,67,1,3,106.966367804435
463,68,2,1,114.223242185226
464,68,2,2,76.6585738100801
465,68,2,2,72.8317149554162
466,68,2,2,40.649040477081
467,68,2,2,42.8015367599287
468,68,2,2,59.2942027228758
469,68,2,3,125.752344023555
470,69,2,1,64.8084916144764
471,69,2,2,40.2922201888896
472,69,2,2,47.8129359752038
473,69,2,2,29.380347547309
474,69,2,2,30.5884570669999
475,69,2,2,24.7361708872576
476,69,2,3,71.3301806112977
477,70,1,1,67.7721638111416
478,70,1,2,34.2277607121501
479,70,1,2,14.7468021571677
480,70,1,2,20.2994694138407
481,70,1,2,11.8131034065659
482,70,1,2,16.2690090258067
483,70,1,3,36.2425736770131
484,71,2,1,129.276221139996
485,71,2,2,45.5749634585153
486,71,2,2,28.568162382556
487,71,2,2,27.2103631485822
488,71,2,2,13.8370614583435
489,71,2,2,21.2904158169089
490,71,2,3,68.642994344072
491,72,1,1,68.0711438238118
492,72,1,2,30.4512005700827
493,72,1,2,19.526546948534
494,72,1,2,29.6140261963463
495,72,1,2,27.6577485219217
496,72,1,2,18.8867718257872
497,72,1,3,116.775709799899
498,73,2,1,49.4039857074198
499,73,2,2,65.5320782503854
500,73,2,2,40.1037126476594
501,73,2,2,36.5466787163614
502,73,2,2,20.7033894353433
503,73,2,2,22.5935805344263
504,73,2,3,67.0562763215869
505,74,2,1,81.5536308644297
506,74,2,2,35.2878531853302
507,74,2,2,30.3759914166742
508,74,2,2,22.9606301333311
509,74,2,2,27.3023517497655
510,74,2,2,27.731386614229
511,74,2,3,52.6551323783098
512,75,1,1,22.9443054035723
513,75,1,2,26.0522415511898
514,75,1,2,23.2716396294316
515,75,1,2,22.1763467530338
516,75,1,2,14.9232210436751
517,75,1,2,21.0180415374666
518,75,1,3,26.6513354073984
519,76,2,1,111.010449154283
520,76,2,2,24.3775105374245
521,76,2,2,30.7955107660909
522,76,2,2,22.3159484093402
523,76,2,2,16.4447947463787
524,76,2,2,20.08198117333
525,76,2,3,76.9678387313672
